Chapter,Verse,Word,MS_M,MS_Bmg,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,12,1,חוג̇,הוד,Lexical,,,,,
,,2,[],,,,,,,
,,3,בכבודה,בכבודו,Morphological,Suffix Pron.,,,,
,,4,[ו]יד,,,,,,,
,,5,אל,לׂא,Lexical,Synonym,,,,
,,6,נטתה,,,,,,,
,,7,בגבו̊[רה],,,,,,,
,13,1,גערתו,,Same,,,,,
,,2,ת[תו]ה̊,,,,,,,
,,3,ברד,,Lexical,,,,,
,,4,ותנצח,תנצח,Morphological,Coordination,,,,
,,,ותנצח,,Lexical,,,,,
,,5,זיקות,זלקים,Lexical,,,,,
,,,זיקות,,Lexical,,,,,
,,6,משפט,,,,,,,
,14,1,למענו,למענו,Same,,,,,
,,2,פרע,,,,,,,
,,3,אוצר,,,,,,,
,,4,ויעף,,,,,,,
,,5,עבים,,,,,,,
,,6,כעיט,,,,,,,
,17,1,קול,,,,,,,
,,2,רעמו,,,,,,,
,,3,יחיל,יחיל,Same,,,,,
,,4,ארצו,,,,,,,
,,5,עלעול,עלעול,Same,,,,,
,,6,>,>,,,,,,
,,7,סופה,,,,,,,
,,8,וסערה,,,,,,,
,,9,כרשף,כר',,,,,,
,,10,יפרח,,,,,,,
,,11,שלגו,,,,,,,
,,12,וכארבה,,,,,,,
,,13,ישכן,,,,,,,
,,14,רדתו,רד',,,,,,
,16,1,ובכחו,ובכוחו,Morphological,Orthographical,,,,
,,2,יניף,יזעים,Lexical,,,,,
,,3,הרים,הרים,Same,,,,,
,,4,אמר֯ת֯ו֯,אימתו,Lexical,,,,,
,,5,תחריף,תחרף,Morphological,Orthographical,,,,
,,6,תימן,תימן,Same,,,,,
,18,1,תור,,,,,,,
,,2,לבנו,,,,,,,
,,3,יהג,יהגה,Morphological,Orthographical,,,,
,,4,עינים,,,,,,,
,,5,וממטרו,,,,,,,
,,6,יתמיה,,,,,,,
,,7,לבב,,,,,,,
,19,1,[וגם],,,,,,,
,,2,כ̊פ̊ו̊ר,,,,,,,
,,3,כמלח,,,,,,,
,,4,ישפך,ישפך,Same,,,,,
,,5,ויצמח,,,,,,,
,,6,כסנה,,,,,,,
,,7,צצים,,,,,,,
,20,1,[צנת,,,,,,,
,,2,רו]ח̊,,,,,,,
,,3,צ̊פ̇ו̇ן,,,,,,,
,,4,ישיב,,,,,,,
,,5,וכרגב,,,,,,,
,,6,יקפיא,,,,,,,
,,7,מקור,מקוה,Lexical,,,,,
,,8,[על,,,,,,,
,,9,כל,,,,,,,
,,10,מע]מד,,,,,,,
,,11,מ̊ימ,,,,,,,
,,12,יקר̇[ים],,,,,,,
,,13,[,,,,,,,
,,14,,,,,,,,
,,15,],,,,,,,
,21,1,[יבול,,,,,,,
,,2,הרי]ם,,,,,,,
,,3,ח֯ר֯ב,,,,,,,
,,4,י̇ש̇[יק,,,,,,,
,,5,[,,,,,,,
,,6,,,,,,,,
,,7,],,,,,,,
,23,1,[,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,],,,,,,,
,,6,א̇יים,אוצר,Lexical,,,,,
,24,1,[,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,],,,,,,,
,,5,ל̇שמע,,,,,,,
,,6,אזנינו,,,,,,,
,,7,נשמתם,,,,,,,
,25,1,[,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,],,,,,,,
,,5,מ̊י̊ן,,,,,,,
,,6,כ̊[ל,,,,,,,
,,7,חי,,,,,,,
,,8,ו]ג֯ב֯ו֯רת,,,,,,,
,,9,רה̇ב,,,,,,,
,30,1,],,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,,,,,,,,
,,6,,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,]ש,,,,,,,
,,10,אל,,,,,,,
,,11,],,,,,,,
,,12,,,,,,,,
,,13,,,,,,,,
,,14,,,,,,,,
,,15,,,,,,,,
,,16,,,,,,,,
,,17,,,,,,,,
,,18,[,,,,,,,
,1,1,[אהללה,,,,,,,
,,2,נ]א̊,,,,,,,
,,3,אנ̊[שי],,,,,,,
,,4,חסד,,,,,,,
,,5,את,את,Same,,,,,
,,6, אב[ותינו, (אב[ותינו),,,,,,
,,7,[,,,,,,,
,2,1,רב,,,,,,,
,,2,כבוד,,,,,,,
,,,חלק,חלק,Same,,,,,
,,3,חלק,(חלק) להם,,,,,,
,,4,עליון,,,,,,,
,,5,וגדלה,,,,,,,
,,6,מי[מות,,,,,,,
,,7,עולם],,,,,,,
,3,1,>,,,,,,,
,,2,>,,,,,,,
,,3,>,,,,,,,
,,4,>,,,,,,,
,,5,>,,,,,,,
,,6,>,,,,,,,
,,7,ויעצים,יו‘,,,,,,
,,8,בתבונתם,,,,,,,
,,9,>,,,,,,,
,,10,וחזי,,,,,,,
,,11,כל,,,,,,,
,,12,בנבו̇[אתם],,,,,,,
,4,1,שרי,,,,,,,
,,2,גוי,,,,,,,
,,3,ב̊מ̇זמת̊ם̇,,,,,,,
,,4,ורזנים,,,,,,,
,,5,במחקק[תם,,,,,,,
,,6,חכמי,,,,,,,
,,7,שיח,,,,,,,
,,8,בספרתם,במס‘,Lexical,,,,,
,,9,ומשלים,,,,,,,
,,10,במ̇[שמרותם],,,,,,,
,5,1,חקרי,,,,,,,
,,2,מזמור,,,,,,,
,,3,על,,,,,,,
,,4,קו,קו,Same,,,,,
,,5,ונשאי,,,,,,,
,,6,משל̊,,,,,,,
,,7,[בכתב],,,,,,,
,6,1,אנשי,,,,,,,
,,2,חיל,,,,,,,
,,3,וסמכי,,,,,,,
,,4,כח,,,,,,,
,,5,ושקט֯[ים,,,,,,,
,,6,,,,,,,,
,,7,[,,,,,,,
,7,1,כל,,,,,,,
,,2,אלה,,,,,,,
,,3,בדרם,,,,,,,
,,4,נכבדו,נכבד,Same,,,,,
,,5,מ]ן,ובימיהם,,,,,,
,,6,[ימיהם,,,,,,,
,,7,תפארתם],,,,,,,
,9,1,ויש,,,,,,,
,,2,מהם,,,,,,,
,,3,,,,,,,,
,,4,שאין,,,,,,,
,,5,לו,,,,,,,
,,6,זכר,,,,,,,
,,7,[,,,,,,,
,,8,,,,,,,,
,,9,],,,,,,,
,,10,כאשר,,,,,,,
,,11,לא,,,,,,,
,,12,היו,,,,,,,
,,13,היו,,,,,,,
,,14,ו[,,,,,,,
,,15,[,,,,,,,
,10,1,אולם,,,,,,,
,,2,אלה,,,,,,,
,,3,אנשי,,,,,,,
,,4,חסד,,,,,,,
,,5,וצ[דקתם,,,,,,,
,,6,[,,,,,,,
,,7,],,,,,,,
,11,1,אם,,,,,,,
,,2,זרעם,,,,,,,
,,3,נאמן,,,,,,,
,,4,טובם,,,,,,,
,,5,ונחל̊[תם,,,,,,,
,,6,[,,,,,,,
,,7,],,,,,,,
,12,1,בבריתם,,,,,,,
,,2,עמד,,,,,,,
,,3,זרעם,,,,,,,
,,4,וצאצאיהם,,,,,,,
,,5,],,,,,,,
,,6,[,,,,,,,
,13,1,ע̊ד̇,,,,,,,
,,2,עולם,,,,,,,
,,3,יעמד,,,,,,,
,,4,זרעם,,,,,,,
,,5,וכבודם,,,,,,,
,,6,לא,,,,,,,
,,7,ימח̊[ה],,,,,,,
,14,1, ג̊וי̊[ת]ם,,,,,,,
,,2,בשלום,,,,,,,
,,3,נאספה,,,,,,,
,,4,[ו]שמם,,,,,,,
,,5,חי,,,,,,,
,,6,לדוד,,,,,,,
,,7,ודר,,,,,,,
,15,1,[],חכמתם,,,,,,
,,2,ת]ש֯ן̇,תשנה,,,,,,
,,3,עדה,עדה,Same,,,,,
,,4,ותהלתם,ותהלתם,Same,,,,,
,,5,יספר,יספר,Same,,,,,
,,6,קהל,קהל,Same,,,,,
,16,1,>,,,,,,,
,,2,>,,,,,,,
,,3,>,,,,,,,
,,4,>,,,,,,,
,,5,>,,,,,,,
,,6,>,,,,,,,
,,7,>,,,,,,,
,,8,>,,,,,,,
,,9,>,,,,,,,
,,10,>,,,,,,,
,,11,>,,,,,,,
,17,1,נוח,,,,,,,
,,2,צדיק̇,,,,,,,
,,3,נ̊מצא,,,,,,,
,,4,תמים,,,,,,,
,,5,ב[עת,ב‘,,,,,,
,,6,כ]ל[ה,,,,,,,
,,7,[,,,,,,,
,,8,],,,,,,,
,,9,ב̊ע̊[בורו,,,,,,,
,,10,[,,,,,,,
,,11,,,,,,,,
,,12,,,,,,,,
,,13,,,,,,,,
,,14,],,,,,,,
